id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34401159,"G-1 - Sleeps 18 Parking Breakfast Sushi Wine Smoothies - Early check-in and late check out ! $10 off  你好  مرحبا Hola  Bonjour Привет Kamusta perfect for big families, groups & students Apt. G-1",85030001,Ran & Karl,,Washington Park,41.7884,-87.61506,Entire home/apt,263,1,0,,,9,337
34401295,"G-1-2 - Sleeps 24 Parking Breakfast Sushi Wine Smoothies  - Early check-in and late check out ! $10 off 你好  مرحبا Hola  Bonjour Привет Kamusta perfect for big families, groups & students Apt. G-1-2",85030001,Ran & Karl,,Washington Park,41.78707,-87.6182,Entire home/apt,387,1,0,,,9,324
34419967,Affordable apartment near University of Chicago,149172508,Thelma,,Woodlawn,41.7806,-87.5927,Entire home/apt,120,1,21,2019-09-20,5.00,4,40
34420421,Stunning Atrium Unit East Village/Wicker Park,40025536,Abigail,,West Town,41.89784,-87.67168,Entire home/apt,125,2,15,2019-09-21,3.41,1,258
34422299,Private room in Modern Rustic very close to beach!,41723018,Jenny,,Uptown,41.96429,-87.65063,Private room,56,2,11,2019-09-15,2.73,1,0
34434981,Your own private bed & bath by University of C,149172508,Thelma,,Woodlawn,41.78224,-87.5942,Private room,45,1,3,2019-06-09,0.66,4,60
34438873,Unbeatable vintage Lincoln Park location,259968193,Mark,,Lincoln Park,41.92345,-87.64066,Entire home/apt,138,1,15,2019-09-13,3.63,1,100
34441147,"Shared Room #4, Layover near airport",2456789,Mary,,Norwood Park,41.98249,-87.82063,Shared room,28,1,6,2019-08-17,1.46,6,2
34442543,Historic Greystone Apartment with free parking.,6789528,Peter,,Lake View,41.94387,-87.65173,Entire home/apt,174,1,31,2019-09-17,6.94,1,26
34448656,Stylish and Cozy 1BR in Edgewater Glen,8452959,Katie,,Edgewater,41.99373,-87.66229,Entire home/apt,110,1,23,2019-09-20,5.56,1,64
34465373,Luxury Single Family Lincoln Park Home,8276496,Matt,,Lincoln Park,41.92963,-87.66986,Entire home/apt,999,2,3,2019-09-02,0.86,1,166
34467786,Large private room by University of Chicago (D),149172508,Thelma,,Woodlawn,41.78191,-87.59403,Private room,40,2,4,2019-09-14,1.29,4,58
