id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
107884,West Seattle/Alki Beach House,331494,Anne,West Seattle,North Admiral,47.58,-122.40204,Entire home/apt,92,2,156,2019-09-10,1.54,1,231
107962,Haller Lake Restored Log Cabin,112093,Roberta & Dan,Northgate,Haller Lake,47.71489,-122.33296,Entire home/apt,120,2,227,2019-06-05,2.26,1,2
108765,Beacon Hill Cottage in the City,541908,Mary,Beacon Hill,Mid-Beacon Hill,47.55257,-122.30435,Entire home/apt,130,2,62,2019-09-21,0.62,1,365
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,120,30,52,2019-05-11,0.52,1,33
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56874,-122.40649,Private room,150,2,134,2019-09-18,1.36,2,348
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65231,-122.35,Entire home/apt,79,3,383,2019-09-08,3.80,2,345
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.66923,-122.33517,Entire home/apt,110,2,113,2019-09-19,1.12,1,302
132160,"Green Lake Guest Suite, private apt",558743,Natalie,Other neighborhoods,Green Lake,47.68226,-122.34345,Entire home/apt,150,3,274,2019-09-11,2.77,2,177
134091,Vintage Capitol Hill - 1 Pkg Spot,658155,Joe,Capitol Hill,Broadway,47.62142,-122.31642,Entire home/apt,170,7,175,2019-09-04,1.78,13,83
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55508,-122.26455,Private room,85,2,80,2019-09-11,1.07,2,361
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.61894,-122.29212,Private room,75,1,148,2019-09-11,1.47,1,297
143580,N. Beacon Hill- Super Private Room,594315,Jana,Beacon Hill,North Beacon Hill,47.58379,-122.31677,Private room,89,2,378,2019-09-20,3.76,1,336
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Julie,Central Area,Mann,47.61231,-122.29825,Entire home/apt,68,3,376,2019-09-19,3.75,1,343
151545,Seattle 2.5 BR w Amazing Water Views | BlueStarBnB,306615,Tara,Capitol Hill,Portage Bay,47.65008,-122.31931,Entire home/apt,199,7,35,2019-09-08,0.35,3,74
